date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,total_points_home,previous_points_home,rank_home,rank_change_home,total_points_away,previous_points_away,rank_away,rank_change_away
2018-10-11,France,Iceland,2.0,2.0,Friendly,Guingamp,France,False,1729.0,1726.0,1.0,0.0,1461.0,1471.0,36.0,4.0
2018-10-11,Mexico,Costa Rica,3.0,2.0,Friendly,San Nicolás de los Garza,Mexico,False,1550.0,1560.0,15.0,-1.0,1460.0,1471.0,37.0,5.0
2018-10-11,United States,Colombia,2.0,4.0,Friendly,Tampa,United States,False,1510.0,1508.0,22.0,0.0,1567.0,1563.0,14.0,0.0
2018-10-11,Wales,Spain,1.0,4.0,Friendly,Cardiff,Wales,False,1536.0,1536.0,19.0,0.0,1597.0,1580.0,9.0,0.0
2018-10-12,Belgium,Switzerland,2.0,1.0,UEFA Nations League,Brussels,Belgium,False,1729.0,1723.0,1.0,-1.0,1598.0,1597.0,8.0,0.0
2018-10-12,Croatia,England,0.0,0.0,UEFA Nations League,Rijeka,Croatia,False,1634.0,1643.0,4.0,0.0,1612.0,1615.0,6.0,0.0
2018-10-12,Japan,Panama,3.0,0.0,Kirin Challenge Cup,Niigata,Japan,False,1398.0,1392.0,54.0,-1.0,1339.0,1343.0,70.0,1.0
2018-10-12,South Korea,Uruguay,2.0,1.0,Friendly,Seoul,South Korea,False,1395.0,1387.0,55.0,-2.0,1632.0,1627.0,5.0,0.0
2018-10-12,Qatar,Ecuador,4.0,3.0,Friendly,Doha,Qatar,False,1247.0,1236.0,94.0,-4.0,1378.0,1376.0,58.0,-2.0
2018-10-12,Saudi Arabia,Brazil,0.0,2.0,Friendly,Riyadh,Saudi Arabia,False,1337.0,1336.0,71.0,1.0,1663.0,1657.0,3.0,0.0
2018-10-12,Cameroon,Malawi,1.0,0.0,African Cup of Nations qualification,Yaoundé,Cameroon,False,1408.0,1416.0,50.0,3.0,1129.0,1140.0,125.0,2.0
2018-10-13,Netherlands,Germany,3.0,0.0,UEFA Nations League,Amsterdam,Netherlands,False,1540.0,1540.0,17.0,0.0,1568.0,1561.0,12.0,-3.0
2018-10-13,Republic of Ireland,Denmark,0.0,0.0,UEFA Nations League,Dublin,Republic of Ireland,False,1478.0,1484.0,30.0,1.0,1581.0,1580.0,10.0,1.0
2018-10-14,Poland,Italy,0.0,1.0,UEFA Nations League,Chorzów,Poland,False,1537.0,1538.0,18.0,0.0,1526.0,1532.0,20.0,-1.0
2018-10-14,Romania,Serbia,0.0,0.0,UEFA Nations League,Bucharest,Romania,False,1489.0,1490.0,27.0,-1.0,1463.0,1459.0,35.0,-1.0
2018-10-14,Scotland,Portugal,1.0,3.0,Friendly,Glasgow,Scotland,False,1448.0,1444.0,39.0,-1.0,1606.0,1599.0,7.0,0.0
2018-10-15,Iceland,Switzerland,1.0,2.0,UEFA Nations League,Reykjavík,Iceland,False,1461.0,1471.0,36.0,4.0,1598.0,1597.0,8.0,0.0
2018-10-15,Spain,England,2.0,3.0,UEFA Nations League,Seville,Spain,False,1597.0,1580.0,9.0,0.0,1612.0,1615.0,6.0,0.0
2018-10-15,Croatia,Jordan,2.0,1.0,Friendly,Rijeka,Croatia,False,1634.0,1643.0,4.0,0.0,1189.0,1192.0,110.0,0.0
2018-10-15,Kuwait,Australia,0.0,4.0,Friendly,Kuwait City,Kuwait,False,1014.0,1012.0,159.0,0.0,1431.0,1431.0,43.0,0.0
2018-10-15,Saudi Arabia,Iraq,1.0,1.0,Friendly,Riyadh,Saudi Arabia,False,1337.0,1336.0,71.0,1.0,1272.0,1274.0,89.0,0.0
2018-10-16,France,Germany,2.0,1.0,UEFA Nations League,Paris,France,False,1729.0,1726.0,1.0,0.0,1568.0,1561.0,12.0,-3.0
2018-10-16,Republic of Ireland,Wales,0.0,1.0,UEFA Nations League,Dublin,Republic of Ireland,False,1478.0,1484.0,30.0,1.0,1536.0,1536.0,19.0,0.0
2018-10-16,Belgium,Netherlands,1.0,1.0,Friendly,Brussels,Belgium,False,1729.0,1723.0,1.0,-1.0,1540.0,1540.0,17.0,0.0
2018-10-16,Colombia,Costa Rica,3.0,1.0,Friendly,Harrison,United States,True,1567.0,1563.0,14.0,0.0,1460.0,1471.0,37.0,5.0
2018-10-16,Denmark,Austria,2.0,0.0,Friendly,Herning,Denmark,False,1581.0,1580.0,10.0,1.0,1499.0,1502.0,24.0,1.0
2018-10-16,Iran,Bolivia,2.0,1.0,Friendly,Tehran,Iran,False,1474.0,1471.0,33.0,1.0,1378.0,1378.0,58.0,-1.0
2018-10-16,Japan,Uruguay,4.0,3.0,Kirin Challenge Cup,Saitama,Japan,False,1398.0,1392.0,54.0,-1.0,1632.0,1627.0,5.0,0.0
2018-10-16,South Korea,Panama,2.0,2.0,Friendly,Cheonan,South Korea,False,1395.0,1387.0,55.0,-2.0,1339.0,1343.0,70.0,1.0
2018-10-16,Mexico,Chile,0.0,1.0,Friendly,Querétaro,Mexico,False,1550.0,1560.0,15.0,-1.0,1568.0,1570.0,12.0,0.0
2018-10-16,Oman,Ecuador,0.0,0.0,Friendly,Doha,Qatar,True,1287.0,1288.0,85.0,1.0,1378.0,1376.0,58.0,-2.0
2018-10-16,United States,Peru,1.0,1.0,Friendly,East Hartford,United States,False,1510.0,1508.0,22.0,0.0,1525.0,1535.0,21.0,1.0
2018-10-16,Uzbekistan,Qatar,2.0,0.0,Friendly,Tashkent,Uzbekistan,False,1245.0,1247.0,96.0,1.0,1247.0,1236.0,94.0,-4.0
2018-10-16,Malawi,Cameroon,0.0,0.0,African Cup of Nations qualification,Blantyre,Malawi,False,1129.0,1140.0,125.0,2.0,1408.0,1416.0,50.0,3.0
2018-10-16,Argentina,Brazil,0.0,1.0,Superclásico de las Américas,Jeddah,Saudi Arabia,True,1575.0,1574.0,11.0,0.0,1663.0,1657.0,3.0,0.0
2018-10-16,Canada,Dominica,5.0,0.0,CONCACAF Nations League qualification,Toronto,Canada,False,1307.0,1304.0,79.0,0.0,953.0,952.0,177.0,0.0
2018-11-14,Switzerland,Qatar,0.0,1.0,Friendly,Lugano,Switzerland,False,1598.0,1598.0,8.0,0.0,1248.0,1247.0,96.0,2.0
2018-11-15,Belgium,Iceland,2.0,0.0,UEFA Nations League,Brussels,Belgium,False,1733.0,1729.0,1.0,0.0,1458.0,1461.0,36.0,0.0
2018-11-15,Croatia,Spain,3.0,2.0,UEFA Nations League,Zagreb,Croatia,False,1635.0,1634.0,4.0,0.0,1594.0,1597.0,9.0,0.0
2018-11-15,England,United States,3.0,0.0,Friendly,London,England,False,1619.0,1612.0,5.0,-1.0,1506.0,1510.0,23.0,1.0
2018-11-15,Germany,Russia,3.0,0.0,Friendly,Leipzig,Germany,False,1555.0,1568.0,14.0,2.0,1433.0,1423.0,41.0,-5.0
2018-11-15,Iran,Trinidad and Tobago,1.0,0.0,Friendly,Tehran,Iran,False,1478.0,1474.0,30.0,-3.0,1263.0,1269.0,93.0,3.0
2018-11-15,Peru,Ecuador,0.0,2.0,Friendly,Lima,Peru,False,1530.0,1525.0,20.0,-1.0,1371.0,1378.0,61.0,3.0
2018-11-15,Poland,Czech Republic,0.0,1.0,Friendly,Gdańsk,Poland,False,1523.0,1537.0,21.0,3.0,1420.0,1418.0,48.0,1.0
2018-11-16,Netherlands,France,2.0,0.0,UEFA Nations League,Rotterdam,Netherlands,False,1550.0,1540.0,15.0,-2.0,1732.0,1729.0,2.0,1.0
2018-11-16,Wales,Denmark,1.0,2.0,UEFA Nations League,Cardiff,Wales,False,1538.0,1536.0,18.0,-1.0,1584.0,1581.0,10.0,0.0
2018-11-16,Argentina,Mexico,2.0,0.0,Friendly,Córdoba,Argentina,False,1573.0,1575.0,12.0,1.0,1549.0,1550.0,16.0,1.0
2018-11-16,Brazil,Uruguay,1.0,0.0,Friendly,London,England,True,1669.0,1663.0,3.0,0.0,1617.0,1632.0,6.0,1.0
2018-11-16,Chile,Costa Rica,2.0,3.0,Friendly,Rancagua,Chile,False,1568.0,1568.0,13.0,1.0,1452.0,1460.0,37.0,0.0
2018-11-16,Japan,Venezuela,1.0,1.0,Kirin Challenge Cup,Ōita,Japan,False,1409.0,1398.0,50.0,-4.0,1479.0,1476.0,29.0,-3.0
2018-11-16,Saudi Arabia,Yemen,1.0,0.0,Friendly,Dammam,Saudi Arabia,False,1334.0,1337.0,72.0,1.0,1112.0,1112.0,131.0,-2.0
2018-11-16,Morocco,Cameroon,2.0,0.0,African Cup of Nations qualification,Casablanca,Morocco,False,1422.0,1425.0,47.0,2.0,1408.0,1408.0,51.0,1.0
2018-11-16,Egypt,Tunisia,3.0,2.0,African Cup of Nations qualification,Alexandria,Egypt,False,1378.0,1364.0,58.0,-6.0,1515.0,1503.0,22.0,-1.0
2018-11-17,Italy,Portugal,0.0,0.0,UEFA Nations League,Milan,Italy,False,1533.0,1526.0,19.0,-1.0,1616.0,1606.0,7.0,0.0
2018-11-17,Serbia,Montenegro,2.0,1.0,UEFA Nations League,Belgrade,Serbia,False,1471.0,1463.0,35.0,0.0,1440.0,1444.0,39.0,-2.0
2018-11-17,Australia,South Korea,1.0,1.0,Friendly,Brisbane,Australia,False,1432.0,1431.0,42.0,-1.0,1401.0,1395.0,53.0,-2.0
2018-11-17,Equatorial Guinea,Senegal,0.0,1.0,African Cup of Nations qualification,Bata,Equatorial Guinea,False,1067.0,1086.0,146.0,5.0,1501.0,1492.0,25.0,0.0
2018-11-18,Switzerland,Belgium,5.0,2.0,UEFA Nations League,Lucerne,Switzerland,False,1598.0,1598.0,8.0,0.0,1733.0,1729.0,1.0,0.0
2018-11-18,England,Croatia,2.0,1.0,UEFA Nations League,London,England,False,1619.0,1612.0,5.0,-1.0,1635.0,1634.0,4.0,0.0
2018-11-18,Spain,Bosnia and Herzegovina,1.0,0.0,Friendly,Las Palmas,Spain,False,1594.0,1597.0,9.0,0.0,1476.0,1468.0,32.0,-2.0
2018-11-18,Ethiopia,Ghana,0.0,2.0,African Cup of Nations qualification,Addis Ababa,Ethiopia,False,1054.0,1060.0,150.0,1.0,1407.0,1407.0,52.0,1.0
2018-11-19,Germany,Netherlands,2.0,2.0,UEFA Nations League,Gelsenkirchen,Germany,False,1555.0,1568.0,14.0,2.0,1550.0,1540.0,15.0,-2.0
2018-11-19,Denmark,Republic of Ireland,0.0,0.0,UEFA Nations League,Aarhus,Denmark,False,1584.0,1581.0,10.0,0.0,1473.0,1478.0,33.0,3.0
2018-11-19,Iceland,Qatar,2.0,2.0,Friendly,Eupen,Belgium,True,1458.0,1461.0,36.0,0.0,1248.0,1247.0,96.0,2.0
2018-11-20,Portugal,Poland,1.0,1.0,UEFA Nations League,Guimarães,Portugal,False,1616.0,1606.0,7.0,0.0,1523.0,1537.0,21.0,3.0
2018-11-20,Serbia,Lithuania,4.0,1.0,UEFA Nations League,Belgrade,Serbia,False,1471.0,1463.0,35.0,0.0,1117.0,1123.0,129.0,3.0
2018-11-20,Albania,Wales,1.0,0.0,Friendly,Elbasan,Albania,False,1372.0,1383.0,60.0,3.0,1538.0,1536.0,18.0,-1.0
2018-11-20,Argentina,Mexico,2.0,0.0,Friendly,Mendoza,Argentina,False,1573.0,1575.0,12.0,1.0,1549.0,1550.0,16.0,1.0
2018-11-20,Australia,Lebanon,3.0,0.0,Friendly,Sydney,Australia,False,1432.0,1431.0,42.0,-1.0,1300.0,1308.0,82.0,5.0
2018-11-20,Brazil,Cameroon,1.0,0.0,Friendly,London,England,True,1669.0,1663.0,3.0,0.0,1408.0,1408.0,51.0,1.0
2018-11-20,France,Uruguay,1.0,0.0,Friendly,Paris,France,False,1732.0,1729.0,2.0,1.0,1617.0,1632.0,6.0,1.0
2018-11-20,Iran,Venezuela,1.0,1.0,Friendly,Doha,Qatar,True,1478.0,1474.0,30.0,-3.0,1479.0,1476.0,29.0,-3.0
2018-11-20,Italy,United States,1.0,0.0,Friendly,Genk,Belgium,True,1533.0,1526.0,19.0,-1.0,1506.0,1510.0,23.0,1.0
2018-11-20,Jordan,Saudi Arabia,1.0,1.0,Friendly,Amman,Jordan,False,1189.0,1189.0,112.0,2.0,1334.0,1337.0,72.0,1.0
2018-11-20,South Korea,Uzbekistan,4.0,0.0,Friendly,Brisbane,Australia,True,1401.0,1395.0,53.0,-2.0,1254.0,1245.0,94.0,-2.0
2018-11-20,Panama,Ecuador,1.0,2.0,Friendly,Panama City,Panama,False,1335.0,1339.0,70.0,0.0,1371.0,1378.0,61.0,3.0
2018-11-20,Peru,Costa Rica,2.0,3.0,Friendly,Arequipa,Peru,False,1530.0,1525.0,20.0,-1.0,1452.0,1460.0,37.0,0.0
2018-11-20,Tunisia,Morocco,0.0,1.0,Friendly,Radès,Tunisia,False,1515.0,1503.0,22.0,-1.0,1422.0,1425.0,47.0,2.0
2018-12-23,Qatar,Jordan,2.0,0.0,Friendly,Doha,Qatar,False,1258.0,1258.0,93.0,0.0,1196.0,1196.0,109.0,0.0
2018-12-24,Palestine,Iran,1.0,1.0,Friendly,Doha,Qatar,True,1236.0,1236.0,99.0,0.0,1481.0,1481.0,29.0,0.0
2018-12-27,Qatar,Algeria,0.0,1.0,Friendly,Doha,Qatar,False,1258.0,1258.0,93.0,0.0,1347.0,1347.0,67.0,0.0
2018-12-30,Australia,Oman,5.0,0.0,Friendly,Dubai,United Arab Emirates,True,1436.0,1436.0,41.0,0.0,1295.0,1291.0,82.0,-1.0
2018-12-31,South Korea,Saudi Arabia,0.0,0.0,Friendly,Abu Dhabi,United Arab Emirates,True,1405.0,1405.0,53.0,0.0,1335.0,1335.0,69.0,0.0
2018-12-31,Qatar,Iran,1.0,2.0,Friendly,Doha,Qatar,False,1258.0,1258.0,93.0,0.0,1481.0,1481.0,29.0,0.0
2019-01-06,Australia,Jordan,0.0,1.0,AFC Asian Cup,Al Ain,United Arab Emirates,True,1436.0,1436.0,41.0,0.0,1196.0,1196.0,109.0,0.0
2019-01-07,South Korea,Philippines,1.0,0.0,AFC Asian Cup,Dubai,United Arab Emirates,True,1405.0,1405.0,53.0,0.0,1171.0,1176.0,116.0,2.0
2019-01-07,Iran,Yemen,5.0,0.0,AFC Asian Cup,Abu Dhabi,United Arab Emirates,True,1481.0,1481.0,29.0,0.0,1106.0,1106.0,135.0,0.0
2019-01-09,Qatar,Lebanon,2.0,0.0,AFC Asian Cup,Al Ain,United Arab Emirates,True,1258.0,1258.0,93.0,0.0,1296.0,1296.0,81.0,0.0
2019-01-09,Japan,Turkmenistan,3.0,2.0,AFC Asian Cup,Abu Dhabi,United Arab Emirates,True,1414.0,1414.0,50.0,0.0,1120.0,1120.0,127.0,0.0
2019-01-11,Palestine,Australia,0.0,3.0,AFC Asian Cup,Dubai,United Arab Emirates,True,1236.0,1236.0,99.0,0.0,1436.0,1436.0,41.0,0.0
2019-01-12,Vietnam,Iran,0.0,2.0,AFC Asian Cup,Abu Dhabi,United Arab Emirates,True,1229.0,1224.0,100.0,0.0,1481.0,1481.0,29.0,0.0
2019-01-12,Lebanon,Saudi Arabia,0.0,2.0,AFC Asian Cup,Dubai,United Arab Emirates,True,1296.0,1296.0,81.0,0.0,1335.0,1335.0,69.0,0.0
2019-01-13,Oman,Japan,0.0,1.0,AFC Asian Cup,Abu Dhabi,United Arab Emirates,True,1295.0,1291.0,82.0,-1.0,1414.0,1414.0,50.0,0.0
2019-01-15,Australia,Syria,3.0,2.0,AFC Asian Cup,Al Ain,United Arab Emirates,True,1436.0,1436.0,41.0,0.0,1322.0,1322.0,74.0,0.0
2019-01-16,South Korea,China PR,2.0,0.0,AFC Asian Cup,Abu Dhabi,United Arab Emirates,True,1405.0,1405.0,53.0,0.0,1317.0,1317.0,76.0,0.0
2019-01-16,Iran,Iraq,0.0,0.0,AFC Asian Cup,Dubai,United Arab Emirates,True,1481.0,1481.0,29.0,0.0,1271.0,1271.0,88.0,0.0
2019-01-17,Saudi Arabia,Qatar,0.0,2.0,AFC Asian Cup,Abu Dhabi,United Arab Emirates,True,1335.0,1335.0,69.0,0.0,1258.0,1258.0,93.0,0.0
2019-01-17,Japan,Uzbekistan,2.0,1.0,AFC Asian Cup,Al Ain,United Arab Emirates,True,1414.0,1414.0,50.0,0.0,1251.0,1251.0,95.0,0.0
2019-01-20,Iran,Oman,2.0,0.0,AFC Asian Cup,Abu Dhabi,United Arab Emirates,True,1481.0,1481.0,29.0,0.0,1295.0,1291.0,82.0,-1.0
2019-01-21,Australia,Uzbekistan,0.0,0.0,AFC Asian Cup,Al Ain,United Arab Emirates,True,1436.0,1436.0,41.0,0.0,1251.0,1251.0,95.0,0.0
2019-01-21,Japan,Saudi Arabia,1.0,0.0,AFC Asian Cup,Sharjah,United Arab Emirates,True,1414.0,1414.0,50.0,0.0,1335.0,1335.0,69.0,0.0
2019-01-22,South Korea,Bahrain,2.0,1.0,AFC Asian Cup,Dubai,United Arab Emirates,True,1405.0,1405.0,53.0,0.0,1178.0,1178.0,113.0,0.0
2019-01-22,Qatar,Iraq,1.0,0.0,AFC Asian Cup,Abu Dhabi,United Arab Emirates,True,1258.0,1258.0,93.0,0.0,1271.0,1271.0,88.0,0.0
2019-01-24,China PR,Iran,0.0,3.0,AFC Asian Cup,Abu Dhabi,United Arab Emirates,True,1317.0,1317.0,76.0,0.0,1481.0,1481.0,29.0,0.0
2019-01-24,Vietnam,Japan,0.0,1.0,AFC Asian Cup,Dubai,United Arab Emirates,True,1229.0,1224.0,100.0,0.0,1414.0,1414.0,50.0,0.0
2019-01-25,South Korea,Qatar,0.0,1.0,AFC Asian Cup,Abu Dhabi,United Arab Emirates,True,1405.0,1405.0,53.0,0.0,1258.0,1258.0,93.0,0.0
2019-01-25,United Arab Emirates,Australia,1.0,0.0,AFC Asian Cup,Al Ain,United Arab Emirates,False,1309.0,1309.0,79.0,0.0,1436.0,1436.0,41.0,0.0
2019-01-27,United States,Panama,3.0,0.0,Friendly,Glendale,United States,False,1497.0,1497.0,25.0,0.0,1326.0,1326.0,71.0,0.0
2019-01-28,Iran,Japan,0.0,3.0,AFC Asian Cup,Al Ain,United Arab Emirates,True,1481.0,1481.0,29.0,0.0,1414.0,1414.0,50.0,0.0
2019-01-29,United Arab Emirates,Qatar,0.0,4.0,AFC Asian Cup,Abu Dhabi,United Arab Emirates,False,1309.0,1309.0,79.0,0.0,1258.0,1258.0,93.0,0.0
2019-02-01,Japan,Qatar,1.0,3.0,AFC Asian Cup,Abu Dhabi,United Arab Emirates,True,1414.0,1414.0,50.0,0.0,1258.0,1258.0,93.0,0.0
2019-02-02,United States,Costa Rica,2.0,0.0,Friendly,San Jose,United States,False,1497.0,1497.0,25.0,0.0,1464.0,1464.0,36.0,0.0
2019-03-20,Germany,Serbia,1.0,1.0,Friendly,Wolfsburg,Germany,False,1558.0,1558.0,16.0,0.0,1481.0,1481.0,31.0,2.0
2019-03-20,Wales,Trinidad and Tobago,1.0,0.0,Friendly,Wrexham,Wales,False,1525.0,1525.0,19.0,0.0,1260.0,1260.0,93.0,1.0
2019-03-21,Kosovo,Denmark,2.0,2.0,Friendly,Pristina,Kosovo,False,1113.0,1113.0,130.0,-1.0,1589.0,1589.0,10.0,0.0
